FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
23001,120397702.4,120064585.87,173.93, ,,,,,,
23003,113537107.8,111782783.92,78.37, ,,,,,,
23005,287426760.37,277342444.1,290.62, ,,,,,,
23007,35385886.32,35416131.3,104.36, ,,,,,,
23009,77113198.28,78248868.43,87.51, ,,,,,,
23011,140032048.9,139724599.46,97.39, ,,,,,,
23013,52725678.92,52900442.02,95.79, ,,,,,,
23015,48840096.64,48480674.06,212.85, ,,,,,,
23017,69584185.47,70239843.82,157.2, ,,,,,,
23019,189919524.65,189626126.96,81.05, ,,,,,,
23021,22969781.27,23724030.49,103.51, ,,,,,,
23023,34948030.22,34393791.58,254.88, ,,,,,,
23025,65780931.93,67322157.0,99.84, ,,,,,,
23999,,,,*,,,,,,
23027,44247163.56,44854746.59,96.98, ,,,,,,
23029,51069214.32,52225670.16,71.8, ,,,,,,
23031,212553915.6,205850074.73,269.4, ,,,,,,
26001,23885316.32,23620846.71,135.4, ,,,,,,
26003,14024417.45,14074022.56,217.17, ,,,,,,
26005,78016513.61,74678917.5,286.15, ,,,,,,
26007,49179789.17,48623089.78,122.64, ,,,,,,
26009,31804712.25,31502919.31,212.66, ,,,,,,
26011,26824384.64,26993483.13,177.7, ,,,,,,
26013,9207971.24,9244355.7,86.1, ,,,,,,
26015,45286544.31,43723876.15,272.73, ,,,,,,
26017,157575645.7,157998456.5,148.46, ,,,,,,
26019,19832408.36,19819188.51,257.58, ,,,,,,
26021,196608958.64,196954083.31,539.66, ,,,,,,
26023,52323390.34,51498916.32,139.55, ,,,,,,
26025,160340090.3,156796087.31,150.23, ,,,,,,
26027,54045121.36,53932809.22,422.32, ,,,,,,
26029,26890138.43,26782800.49,227.6, ,,,,,,
26031,37492185.19,37098097.83,378.06, ,,,,,,
26033,39022194.99,39225356.52,192.94, ,,,,,,
26035,50012940.3,49281014.07,192.48, ,,,,,,
26037,56055681.73,53715944.3,247.64, ,,,,,,
26039,18408796.2,18153139.22,146.25, ,,,,,,
26041,44506589.91,43687087.98,319.18, ,,,,,,
26043,30851033.27,31356377.25,463.75, ,,,,,,
26045,108590020.54,104380659.17,262.43, ,,,,,,
26047,33784704.15,33027540.36,315.72, ,,,,,,
26049,586915972.48,530445168.73,342.0, ,,,,,,
26051,46471819.22,46024262.91,269.12, ,,,,,,
26053,19243917.48,19524090.99,283.44, ,,,,,,
26055,80446676.27,79732064.19,285.61, ,,,,,,
26057,48185420.36,47536444.81,202.11, ,,,,,,
26059,47488178.66,45752363.07,188.67, ,,,,,,
26061,33643933.83,33738015.32,61.7, ,,,,,,
